PRECIO,DELEGACION,T_HABITACION,MIN_NOCHES,N_COMENTARIOS,COMENTARIOSXMES,N_VECES_HOST_LISTADO,DISPONIBILIDAD,CLUSTER
1969,1,1,1,57,0.52,9,355,3
1893,1,1,1,39,0.42,10,334,3
1625,1,2,3,39,0.43,1,178,1
956,1,1,2,51,2.55,3,180,3
1816,1,2,2,39,0.42,3,361,5
1051,2,2,3,92,1.03,4,295,5
1128,2,2,3,31,0.31,4,327,5
4569,3,2,2,138,1.5,13,201,7
4110,3,2,4,8,0.21,2,345,5
1051,3,2,2,255,2.65,4,247,7
287,4,1,4,58,0.9,2,364,3
1415,1,1,1,51,0.58,6,3,3
1032,1,2,3,34,0.39,1,268,5
1625,1,2,4,91,0.98,6,153,1
1816,1,2,2,24,0.35,6,89,1
1625,1,2,2,53,0.58,6,316,5
918,1,2,2,160,1.69,3,186,7
803,3,2,3,23,0.27,1,363,5
1300,1,2,5,1,0.26,1,364,5
956,1,2,6,2,0.04,1,217,1
1319,1,2,1,250,2.67,16,0,7
1434,1,2,1,230,2.47,16,365,7
574,1,1,3,79,0.86,7,305,3
325,1,1,5,16,0.17,3,23,3
631,5,1,1,10,1.36,1,0,3
1051,3,2,2,236,2.57,4,247,7
1185,1,2,2,322,3.54,1,56,7
1740,3,2,5,13,0.14,1,115,1
2753,1,2,1,6,0.11,10,343,5
4779,1,1,7,3,0.03,3,364,3
956,1,2,1,257,3.6,10,336,7
1816,1,2,3,118,1.35,1,58,1
918,1,2,2,175,1.99,3,180,7
669,3,2,2,33,0.45,1,365,5
650,1,1,3,102,1.57,1,358,3
382,2,1,2,153,1.99,2,287,7
650,1,1,1,69,1.36,2,14,3
268,6,1,3,28,0.55,4,267,3
268,6,1,3,19,0.25,4,327,3
382,6,1,2,15,0.65,5,349,3
1472,1,2,3,305,3.44,1,350,7
1510,1,2,2,17,0.22,1,315,5
650,1,2,1,260,2.96,3,322,7
1357,1,1,1,43,0.5,10,362,3
268,2,1,3,8,0.13,2,341,3
535,1,1,3,2,0.02,2,364,3
344,1,1,7,19,0.57,3,176,3
1969,1,2,5,12,0.15,6,176,1
918,3,2,2,143,1.66,1,360,7
1434,1,2,1,8,0.17,3,0,1
535,1,1,3,52,1.46,1,25,3
306,4,1,5,16,0.19,5,365,3
421,4,1,3,7,0.4,4,327,3
268,7,1,2,35,0.41,1,354,3
478,1,1,1,2,0.03,1,365,3
1147,1,2,1,195,2.31,1,276,7
191,3,1,2,44,0.52,5,317,3
325,3,3,2,61,0.72,5,128,1
956,3,1,3,4,0.25,1,362,3
860,1,2,7,6,0.14,24,331,2
1682,1,2,2,158,2.01,1,161,7
650,1,2,2,11,0.13,1,241,5
1338,3,2,4,38,0.79,2,348,5
7264,1,2,3,22,0.26,7,261,5
6691,1,2,3,2,0.02,7,251,5
554,8,1,1,77,5.19,2,364,7
2466,1,2,1,119,1.43,8,323,7
574,3,1,2,14,0.59,1,164,3
1243,1,2,5,63,0.75,1,318,5
1701,1,2,1,11,0.22,2,365,5
1204,1,2,1,2,0.04,1,114,1
191,1,1,7,21,0.44,1,362,3
2504,1,2,1,1,0.22,10,341,5
401,1,1,5,8,0.11,3,0,3
1644,1,2,3,42,0.52,17,234,2
382,9,1,3,6,0.09,1,87,0
1109,1,1,2,28,0.36,5,296,3
478,10,2,4,11,0.21,1,327,0
4779,1,2,2,1,0.02,7,265,5
4206,1,2,3,1,0.03,7,251,5
5735,1,2,3,4,0.08,7,251,5
1893,1,2,3,159,1.9,1,353,7
191,3,3,2,60,0.73,5,128,1
1644,1,2,3,204,2.56,1,229,7
765,11,2,1,130,1.63,2,283,0
6270,11,2,4,22,0.27,2,362,0
7628,3,2,2,79,1.0,1,164,1
440,1,1,7,10,0.12,2,363,3
554,3,1,3,1,0.03,2,296,3
554,3,1,5,1,0.01,2,296,3
1128,8,2,2,45,0.54,1,342,0
574,12,1,1,10,0.17,1,0,0
2275,1,2,1,180,2.19,2,84,7
1625,1,2,2,208,2.54,3,311,7
937,3,2,2,141,1.79,3,325,7
1491,3,2,24,35,0.43,3,257,5
937,3,2,3,34,0.44,13,10,1
937,3,2,3,29,0.36,13,10,1
1166,1,2,3,9,0.13,17,248,2
669,3,2,3,66,0.82,1,345,5
3231,1,2,1,99,1.22,6,303,5
1721,1,2,1,238,3.0,16,0,7
1109,1,2,3,252,3.81,1,147,7
1051,1,2,3,14,0.18,10,348,5
1051,1,2,5,6,0.08,10,266,5
287,1,1,4,82,1.05,3,174,3
3059,2,1,3,26,0.33,3,354,3
765,1,1,1,5,0.06,1,363,3
860,2,2,3,12,0.16,4,174,1
401,13,1,2,26,0.41,2,358,0
1797,1,2,3,53,2.73,1,332,5
516,1,1,2,123,2.24,1,361,7
1243,1,2,4,11,0.14,3,281,5
1090,3,2,4,45,0.63,1,289,5
898,1,2,4,45,0.63,6,230,5
803,1,2,3,18,0.26,6,236,5
994,1,2,4,14,0.18,6,189,1
1434,2,2,1,25,0.75,1,266,5
3231,1,2,1,118,1.49,6,306,7
421,4,1,1,6,0.08,1,365,3
3403,1,2,3,124,1.57,2,354,7
765,4,2,1,1,0.01,1,339,5
860,2,1,3,7,0.1,3,362,3
1051,1,2,4,26,0.34,10,339,5
956,2,1,3,3,0.04,3,365,3
956,1,2,4,18,0.3,10,359,5
956,1,2,4,10,0.13,10,342,5
956,1,2,3,7,0.17,10,342,5
363,1,1,1,166,2.13,6,302,7
1051,1,2,2,166,2.17,4,292,7
344,3,2,1,107,1.44,4,296,7
1625,1,2,3,359,4.75,5,278,7
1243,1,2,2,266,3.51,7,262,7
